Iteration,Chain,Parameter,value,utterance
1,1,value,0.6840215532687619,noun
2,1,value,0.8418897914559595,noun
3,1,value,0.8553313329324251,noun
4,1,value,0.6263943582533095,noun
5,1,value,0.616463258511395,noun
6,1,value,0.7153687122361737,noun
7,1,value,0.9311493459450357,noun
8,1,value,0.9472110050121585,noun
9,1,value,0.8959229544227298,noun
10,1,value,0.4760520883921724,noun
11,1,value,0.9073441360783921,noun
12,1,value,0.9884552730973829,noun
13,1,value,0.46452419367906705,noun
14,1,value,0.5786423684258625,noun
15,1,value,0.6413111454209495,noun
16,1,value,0.5804054645160934,noun
17,1,value,0.9255977931806236,noun
18,1,value,0.8968964491189928,noun
19,1,value,0.32101800415301834,noun
20,1,value,0.8691427416086681,noun
21,1,value,0.8240629963304066,noun
22,1,value,0.5509651520316831,noun
23,1,value,0.9632886612679247,noun
24,1,value,0.9179811641777729,noun
25,1,value,0.9836085884933765,noun
26,1,value,0.9968728870303549,noun
27,1,value,0.9332465000402138,noun
28,1,value,0.9552598411221447,noun
29,1,value,0.8103665605891683,noun
30,1,value,0.5441085963191233,noun
31,1,value,0.5248664095674851,noun
32,1,value,0.5909448214807175,noun
33,1,value,0.8728000699379205,noun
34,1,value,0.619454920233228,noun
35,1,value,0.767498985341081,noun
36,1,value,0.7365971525451258,noun
37,1,value,0.4764137666629344,noun
38,1,value,0.9766764134075877,noun
39,1,value,0.7833487403794877,noun
40,1,value,0.2745156773650793,noun
41,1,value,0.6148381765228527,noun
42,1,value,0.9776868767717919,noun
43,1,value,0.7871079390355344,noun
44,1,value,0.8105733875383643,noun
45,1,value,0.9420121440932372,noun
46,1,value,0.8213822307375173,noun
47,1,value,0.6159385008882734,noun
48,1,value,0.9837024723582902,noun
49,1,value,0.4417325464298792,noun
50,1,value,0.9323377822947004,noun
51,1,value,0.8940978944346918,noun
52,1,value,0.869447131982655,noun
53,1,value,0.7949933757395924,noun
54,1,value,0.898505499389982,noun
55,1,value,0.9765990958000492,noun
56,1,value,0.8252091081725168,noun
57,1,value,0.8207561586382112,noun
58,1,value,0.8140698778826657,noun
59,1,value,0.9936308566332311,noun
60,1,value,0.9206246177438907,noun
61,1,value,0.8830179011876547,noun
62,1,value,0.7445549927706456,noun
63,1,value,0.7175011966152022,noun
64,1,value,0.8486850085794191,noun
65,1,value,0.9290599668047671,noun
66,1,value,0.9871406286031222,noun
67,1,value,0.5891382271591675,noun
68,1,value,0.9211277724049058,noun
69,1,value,0.7908490713528838,noun
70,1,value,0.7447726621405113,noun
71,1,value,0.9077572401222938,noun
72,1,value,0.5196771003104552,noun
73,1,value,0.658693021290983,noun
74,1,value,0.7237240288428289,noun
