,noun,adj,turker_judgment,wiki_similarity,ldp_similarity,bert_p,bert_gen
78,shirt,red,3.25,0.4983133375644684,0.19982896745204928,0.7812727689743042,0.1354946494102478
79,fruit,red,3.5,0.3899771571159363,0.09817489236593246,0.5934292674064636,0.05929311737418175
80,pepper,red,4.333333333333333,0.4442237317562103,0.4867706000804901,1.0,0.24552559852600098
81,sauce,red,5.0,0.42134213447570795,0.3661121428012848,0.05481735244393349,0.6786417961120605
82,tree,red,2.0,0.3682573437690735,0.18442916870117188,0.043139129877090454,0.07464218884706497
83,puppy,red,2.25,0.34282609820365906,0.2212240844964981,0.03131412714719772,0.02930608205497265
84,blanket,red,3.0,0.3573214113712311,0.33043965697288513,0.29920515418052673,0.011156721040606499
85,hole,red,2.5,0.4182602763175965,0.2920084893703461,0.09447767585515976,0.052342016249895096
86,coat,red,2.5,0.44938087463378906,0.20472656190395355,0.3455459475517273,0.05988646298646927
87,skin,red,2.5,0.4580695629119873,0.3938406705856323,0.15020133554935455,0.09401393681764603
88,towel,red,3.75,0.3898637294769287,0.23670779168605804,0.07574363052845001,0.007923485711216927
89,spot,red,4.666666666666667,0.4043345451354981,0.2087646722793579,0.013211497105658054,0.23152504861354828
90,train,red,2.5,0.32912030816078186,0.1915525943040848,0.09995381534099579,0.001498579396866262
91,button,red,3.0,0.4639630913734436,0.4363148510456085,1.0,0.7967265248298645
92,cookie,red,1.6666666666666667,0.2743620574474335,0.3021180331707001,0.014960148371756077,0.08363153040409088
93,picture,red,2.5,0.4233116209506989,0.2337058037519455,0.004463605582714081,0.032046861946582794
94,throat,red,3.333333333333333,0.3490304946899414,0.2518658936023712,0.5529443621635437,0.6241419911384583
95,boy,red,1.0,0.3624177873134613,0.1597324162721634,0.002029003342613578,0.004714952316135168
96,mouth,red,3.25,0.323233962059021,0.10749080032110214,0.32119160890579224,0.015206761658191681
97,clown,red,3.0,0.3479949831962585,0.3195118010044098,0.07119755446910858,0.004451553802937269
98,nose,red,2.0,0.3979279696941376,0.191065177321434,0.13743911683559418,0.41419824957847595
99,bin,red,2.0,0.3383910059928894,0.3678283393383026,0.002556139137595892,0.007855435833334923
100,foot,red,2.0,0.3749217689037323,0.2703941464424133,0.1001364216208458,0.401715487241745
101,planet,red,2.75,0.3504580855369568,0.3521787524223328,0.1695088893175125,0.017174139618873596
102,boot,red,3.5,0.3631323873996735,0.2661535143852234,0.19223202764987946,0.08942516893148422
103,boat,red,3.0,0.37696415185928345,0.3985534310340881,0.06055230274796486,0.0126581322401762
104,path,red,2.75,0.3442370891571045,0.3302634060382843,0.061990831047296524,0.012058869004249573
105,bell,red,3.0,0.35667601227760315,0.22502221167087555,0.11909390985965729,0.1288384199142456
106,wheel,red,3.0,0.38342192769050604,0.4671506881713867,0.0013423829805105925,0.017924875020980835
107,gate,red,3.25,0.2967601418495178,0.1901242434978485,0.062153711915016174,0.006059588398784399
108,log,red,2.0,0.3153334856033325,0.20064179599285129,0.1558133363723755,0.0274184737354517
109,door,red,2.75,0.31823045015335083,0.11594046652317047,0.011006925255060196,0.00028935735463164747
110,dinosaur,red,2.0,0.35238173604011536,0.5014985799789429,0.09802491962909698,0.01612834818661213
111,map,red,2.25,0.4827354550361633,0.3909739553928375,0.0555608756840229,0.27211788296699524
112,counter,red,2.8,0.2965661585330963,0.2465450018644333,0.0093002337962389,0.0036948483902961016
113,lunch,red,2.0,0.3362662494182587,-0.05003481358289719,0.026638088747859,0.0009727556607685983
114,head,red,2.75,0.4346949458122253,0.17234009504318235,0.21778838336467743,0.11992467194795609
115,triangle,red,3.75,0.4825073778629303,0.7099964618682861,0.5967692136764526,0.16390788555145264
116,kitchen,red,2.25,0.3571935296058655,0.1294092983007431,0.03847286477684975,0.0021341275423765182
117,cake,red,2.5,0.3638190925121307,0.26676467061042786,0.026224158704280853,0.02875388041138649
118,lid,red,3.25,0.3011792004108429,0.4458335638046265,0.2165667861700058,0.024945363402366638
119,box,red,2.75,0.4814759194850922,0.20285527408123016,0.17731525003910065,0.03948144242167473
120,wood,red,2.75,0.392387330532074,0.3195940852165222,0.06472094357013702,0.1319245547056198
121,gown,red,2.5,0.4163865149021149,0.08709918707609178,0.30106619000434875,0.2041158676147461
122,railing,red,2.8,0.3220455348491669,0.20635531842708588,0.044216252863407135,0.10516978800296783
123,freight,red,2.75,0.3167853057384491,0.2310566604137421,0.06022415682673454,0.0012268098071217537
124,rail,red,2.5,0.43851974606513977,0.16515107452869415,0.08054931461811066,0.005436596926301718
125,caboose,red,3.75,0.2892772555351257,0.4468947649002075,0.1469530463218689,0.015211938880383968
126,finger,red,1.5,0.393664687871933,0.2598620057106018,0.018837301060557365,1.0
127,candy,red,4.25,0.3508714735507965,0.21395890414714813,0.008832428604364395,0.056633055210113525
128,jacket,red,2.5,0.433623731136322,0.1838442087173462,0.08640147745609283,0.17555172741413116
129,chip,red,2.0,0.389735072851181,0.2584941685199737,0.22713102400302887,0.016190849244594574
130,scissor,red,3.25,0.2965974807739258,0.08295341581106186,0.09484397619962692,0.05415595322847366
131,rod,red,2.0,0.3587437868118286,0.19074684381484985,0.049833785742521286,0.24192236363887787
132,camera,red,1.6666666666666667,0.3354988396167755,0.11283096671104433,0.009593199007213116,0.10706295073032379
133,scarf,red,3.25,0.4569754898548126,0.3735421895980835,1.0,0.3734048306941986
134,ribbon,red,4.8,0.4713994562625885,0.3814570605754852,1.0,0.39231476187705994
135,neck,red,3.25,0.39217609167099,0.21587015688419345,0.08842232823371887,0.18617281317710876
136,bone,red,1.5,0.3789671063423157,0.3475662171840668,0.01895034871995449,0.03189345449209213
137,handle,red,4.0,0.2743666768074036,0.4485563039779663,0.004236022941768169,0.08115863800048828
138,knob,red,2.75,0.3673329949378967,0.2839093804359436,0.004517685621976852,0.03443672135472298
139,truck,red,3.25,0.41517511010169983,0.13368549942970276,0.27620929479599,0.003911181818693876
140,wagon,red,4.75,0.3500179648399353,0.3992805182933808,0.07527294009923935,0.0023592468351125717
141,closet,red,2.6666666666666665,0.3329499959945679,0.07234447449445723,0.0023001134395599365,0.00046200118958950043
142,jam,red,4.5,0.2986026406288147,0.34085768461227417,0.02277299389243126,0.07071548700332642
143,stripe,red,3.0,0.4995853006839752,0.5480788946151733,1.0,0.1732991486787796
144,leave,red,3.25,0.29444268345832825,-0.03526285290718078,0.003343634307384491,0.0003066245117224753
145,cap,red,3.0,0.4046795070171356,0.4663732349872589,0.3213528096675873,0.06676027923822403
146,cow,red,2.0,0.3823502957820892,0.2974483370780945,0.2955896854400635,0.036342207342386246
147,bowl,red,2.75,0.3082077205181122,0.2632431983947754,0.052575740963220596,0.08265577256679535
148,honey,red,2.0,0.3724256753921509,0.06655119359493256,0.3842025399208069,0.15929248929023743
149,rabbit,red,1.75,0.44066545367240906,0.24134597182273865,0.08545458316802979,0.009539400227367878
150,rain,red,1.0,0.38418295979499817,0.3345010578632355,0.044359903782606125,0.004377834498882294
151,sunshine,red,2.25,0.3595873713493347,0.3247840106487274,0.007994763553142548,0.01198519952595234
152,lip,red,5.666666666666668,0.3679874539375305,0.19009599089622495,0.058642636984586716,0.2177712470293045
153,mine,red,2.0,0.3346542716026306,0.4597401916980744,0.031153500080108643,0.00027945838519372046
154,hexagon,red,2.6666666666666665,0.35235610604286194,0.15622611343860626,0.7806810140609741,0.04793675243854523
155,seat,red,2.75,0.3586002588272095,0.1179480254650116,0.006300448440015316,0.0005530047346837819
156,baby,red,1.5,0.3976444602012634,0.14629507064819336,0.06304831057786942,0.0008182473247870803
157,rock,red,3.0,0.3892709314823151,0.342761904001236,0.2666899561882019,0.07445269078016281
158,edge,red,2.5,0.40031635761260986,0.4635684192180634,0.028582807630300522,0.04878528043627739
159,page,red,2.25,0.20629021525383,0.2555340826511383,0.007763972505927086,0.027386296540498734
160,roof,red,3.5,0.4003736972808838,0.30469655990600586,0.12182179093360901,0.0031163957901299
161,girl,red,4.0,0.3505230247974396,0.1443708837032318,0.0048281289637088776,0.00698000006377697
162,blood,red,6.75,0.4786936342716217,0.33293816447258,0.27387458086013794,0.11385846883058548
163,snow,red,1.25,0.3936364948749542,0.3603577315807343,0.0352913923561573,0.0017485289135947824
164,dragon,red,3.0,0.4692852199077606,0.4589891731739044,1.0,0.009619766846299171
165,oval,red,2.5,0.3978089094161987,0.33101361989974976,0.8997644186019897,0.06074707210063934
166,van,red,2.5,0.35992375016212463,0.4218911230564117,0.45074647665023804,0.0024856585077941418
167,collar,red,3.75,0.4760920107364655,0.3096548020839691,0.8801702857017517,0.10152735561132431
168,rectangle,red,3.333333333333333,0.4526144564151764,0.4357891082763672,0.912828266620636,0.10237978398799896
169,border,red,3.0,0.4000645577907562,0.32184916734695435,0.16671276092529297,0.05199199542403221
170,cab,red,2.25,0.3582195043563843,0.33202531933784485,0.6161949634552002,0.003831340931355953
171,gym,red,2.5,0.2828863859176636,0.05358866229653359,0.024974768981337547,0.004542240872979164
172,cheek,red,2.6666666666666665,0.41533294320106506,0.1959661096334457,0.09377218037843704,0.32150572538375854
173,suit,red,2.333333333333333,0.3479877710342407,0.25199201703071594,0.045096855610609055,0.3581639528274536
174,paper,red,3.0,0.3777674734592438,0.400416910648346,0.1438879817724228,0.17445673048496246
175,sand,red,2.25,0.4476257264614105,0.26937294006347656,0.09804729372262955,0.06963209062814713
176,book,red,3.0,0.34303849935531616,0.014649723656475544,0.4305306375026703,0.021989690139889717
177,sign,red,3.75,0.3851018249988556,0.2001833468675613,0.02691817656159401,1.0
178,pea,red,1.75,0.3589957654476166,0.030070699751377106,0.25090572237968445,0.18153011798858643
179,nest,red,2.0,0.31921905279159546,0.1905489414930344,0.04758033528923988,0.09175813943147659
180,arrow,red,4.0,0.5209522843360901,0.4413243532180786,1.0,0.2828415632247925
181,bat,red,1.5,0.2963276505470276,0.368485152721405,0.008547194302082062,0.010615544393658638
182,chicken,red,2.5,0.4623538851737976,0.2641281485557556,0.04752505198121071,0.05181402340531349
183,controller,red,3.0,0.33060431480407715,0.2651852667331696,0.006497673224657774,0.19942927360534668
184,airplane,red,2.5,0.2984654605388641,0.25091317296028137,0.11749708652496338,0.006576369516551495
185,bike,red,2.75,0.34528806805610657,0.07958957552909851,0.5954172611236572,0.04338289424777031
186,plate,red,2.75,0.3346837162971497,0.234616294503212,0.035685744136571884,0.05963709205389023
187,berry,red,4.666666666666667,0.4258227050304413,0.056622292846441276,0.8339900374412537,0.04950106143951416
188,branch,red,1.25,0.3186022341251373,0.2574312388896942,0.03749923035502434,0.003946901764720678
189,bridge,red,3.0,0.3112609684467316,0.2819347679615021,0.14321836829185486,0.010931591503322124
190,bug,red,3.25,0.31254667043685913,0.1954274475574493,0.3851824998855591,0.005650738254189491
191,cape,red,3.5,0.3999172747135161,0.4242047667503357,0.7129985094070435,0.0030741665977984667
192,pillow,red,2.0,0.337737500667572,0.3608085215091705,0.1956106722354889,0.06301981955766678
193,coral,red,3.75,0.40941739082336426,0.24411146342754364,1.0,0.48533928394317627
194,ant,red,4.25,0.3771127164363861,0.4064020812511444,0.11744269728660583,0.03357531130313873
195,string,red,2.75,0.39371204376220703,0.3992171883583069,0.7133851051330566,0.07127853482961655
196,popsicle,red,4.25,0.3507981300354004,0.3452096879482269,1.0,0.23597760498523712
197,tongue,red,2.75,0.3366924226284027,0.2189089059829712,1.0,1.0
198,lobster,red,5.0,0.4348514378070831,0.3263314664363861,1.0,0.02654997445642948
199,flavor,red,2.75,0.342966228723526,0.08099564164876938,0.26021236181259155,0.011727442964911461
200,road,red,1.75,0.3931671679019928,0.23700881004333496,0.019727716222405434,0.00020171908545307815
201,ear,red,2.25,0.3001662790775299,0.15914389491081238,0.043969735503196716,0.6761172413825989
202,robin,red,5.0,0.3808439373970032,0.03785324841737747,0.6572749018669128,0.19207900762557983
203,bead,red,3.0,0.34442660212516785,0.4606407284736633,0.6189094185829163,0.22227956354618073
204,parachute,red,3.25,0.2954889237880707,0.1322425752878189,1.0,0.011261984705924988
205,grocery,red,2.25,0.33272773027420044,-0.1174905002117157,0.0016626674914732575,0.0003022971504833549
206,store,red,2.75,0.2570215165615082,-0.04813310131430626,9.503595356363803e-05,0.0002548832562752068
207,cart,red,3.0,0.3435764312744141,0.040043722838163376,0.08295245468616486,0.0017447944264858961
208,bed,red,3.25,0.3504200279712677,-0.07799290865659714,0.004192668478935957,0.001731436001136899
209,knight,red,3.333333333333333,0.36410430073738104,0.3664102256298065,0.2638039290904999,0.00614667683839798
210,broccoli,red,1.25,0.3684303164482117,0.33103373646736145,0.3841409981250763,0.12305156141519547
211,body,red,2.0,0.32858049869537354,0.2958106994628906,0.00486878864467144,0.023203402757644653
212,punch,red,3.75,0.359173595905304,-0.0270644910633564,0.009226988069713116,0.015107700601220131
213,track,red,2.25,0.2805755436420441,0.3777166604995728,0.051389507949352264,0.005386025179177523
214,street,red,2.0,0.3459107279777527,0.10830972343683244,0.002677727723494172,0.0032935715280473232
215,dinner,red,1.5,0.3574862480163574,-0.15219029784202576,0.0007942922529764473,0.00024293220485560596
216,hamster,red,1.0,0.3440103828907013,0.16310210525989532,0.16696862876415253,0.059212423861026764
217,diamond,red,2.0,0.3998522758483887,0.5732431411743164,0.6197823882102966,0.20296798646450043
218,machine,red,3.5,0.32042092084884644,0.2478375732898712,0.01432526670396328,0.014586674980819225
219,pole,red,2.5,0.33495455980300903,0.13047493994235992,0.06345684081315994,0.1192142590880394
220,panda,red,2.25,0.3808079361915589,0.2732471823692322,0.5113953351974487,0.02923027239739895
221,drawer,red,2.5,0.2854621112346649,0.1611708700656891,0.001232621376402676,0.0002786753757391125
222,elephant,red,1.5,0.3711749017238617,0.3006166517734528,0.28867974877357483,0.003421385772526264
223,worm,red,3.25,0.33719614148139954,0.3656038939952849,0.5234338641166687,0.01189196016639471
224,shop,red,2.5,0.31176310777664185,0.04578489810228348,0.00045484135625883937,0.0003684518451336771
225,brick,red,5.0,0.526700496673584,0.3462212085723877,1.0,0.5721777081489563
226,fire,hot,6.75,0.4234510064125061,0.09363427013158797,0.15453939139842987,0.34446364641189575
227,air,hot,3.75,0.4685370028018952,0.3320017158985138,0.09416823089122772,0.4041552245616913
228,tongue,hot,2.25,0.3262144923210144,0.1336539089679718,0.002324384404346347,0.04182479903101921
229,water,hot,5.0,0.4739215075969696,0.2931791841983795,0.25104838609695435,1.0
230,head,hot,3.25,0.3561338186264038,-0.04224381223320961,0.00046015135012567043,0.00030201932531781495
231,towel,hot,3.25,0.4087802171707153,0.05948285385966301,0.017660459503531456,0.0033303035888820887
232,plate,hot,4.0,0.3384866416454315,0.17457811534404755,0.08780091255903244,0.017188508063554764
233,macaroni,hot,4.0,0.3703507483005524,0.24170640110969546,0.1000782698392868,0.008958074264228344
234,telephone,hot,1.75,0.3281794786453247,0.007737085223197938,0.007015048060566187,0.009934146888554096
235,aspen,hot,2.0,0.2126297652721405,0.30073752999305725,0.016530288383364677,0.05850449949502945
236,bite,hot,2.75,0.3655651807785034,0.235323429107666,0.005651707295328379,0.010478511452674866
237,muffin,hot,3.5,0.2866573929786682,0.3734017610549927,0.18694934248924255,0.29957959055900574
238,oven,hot,4.25,0.4025847315788269,0.26065793633461,0.21649277210235596,0.6066634058952332
239,mitt,hot,2.75,0.3171238303184509,0.1387501358985901,0.012911233119666576,0.05434054508805275
240,sun,hot,7.0,0.4642331302165985,0.2646743357181549,0.005103899631649256,0.017280781641602516
241,day,hot,3.25,0.4027388989925385,-0.043307006359100335,0.00012846547178924084,0.5824693441390991
242,cookie,hot,4.5,0.3047462403774261,0.30094435811042786,0.051413644105196,0.13458779454231262
243,pear,hot,1.75,0.3072314262390137,0.3997217118740082,0.003989844582974911,0.002933759707957506
244,candle,hot,6.0,0.3305460512638092,0.18038365244865415,0.005146007519215345,0.026815174147486687
245,radiator,hot,5.0,0.4054080843925476,0.2513319253921509,0.023914605379104614,0.036271486431360245
246,baby,hot,2.25,0.3880991339683533,-0.014346063137054443,0.01226589735597372,0.002976022195070982
247,egg,hot,4.25,0.2894187867641449,0.12611426413059235,0.0013334653340280056,0.0006699920631945133
248,fan,hot,2.333333333333333,0.3485733568668365,0.2963123619556427,0.0008140011341311038,0.08667824417352676
249,house,hot,3.6666666666666665,0.3099412024021149,0.026359124109148983,0.0011193803511559963,0.0019923897925764322
250,foot,hot,2.25,0.2879871129989624,-0.03153449669480324,0.0013922200305387378,0.006880748551338911
251,tea,hot,4.5,0.4083727896213532,0.3609670102596283,0.6706520915031433,0.604203462600708
252,oil,hot,3.5,0.3830261528491974,0.2679858505725861,0.689303457736969,0.9903630614280701
253,pot,hot,3.75,0.3739497065544128,0.33243539929389954,0.1217205747961998,0.16575664281845093
254,bacon,hot,5.5,0.3740766048431397,0.28807660937309265,0.29034051299095154,0.13088150322437286
255,toast,hot,4.5,0.4381236732006073,0.3242678642272949,0.03349575772881508,0.00813390128314495
256,honey,hot,3.0,0.371475487947464,0.17148475348949432,0.09712623804807663,0.03229546919465065
257,nose,hot,1.75,0.3899204730987549,0.132735475897789,0.00034576162579469383,0.00038581292028538883
258,body,hot,3.25,0.2731417417526245,0.05716362595558167,0.0009707052959129214,0.0017663127509877086
259,table,hot,1.5,0.34236419200897217,0.05427837744355202,0.0007639937102794647,0.0008685097564011812
260,food,hot,4.6,0.3891164362430573,0.2915683686733246,0.30496880412101746,0.04388101026415825
261,juice,hot,2.25,0.3759114146232605,0.29442349076271057,0.003452878212556243,1.0
262,wood,hot,2.5,0.358104020357132,0.3474462330341339,0.0029313992708921432,0.0027817594818770885
263,grill,hot,6.0,0.4296513795852661,0.2768481373786926,0.28673169016838074,0.04922160133719444
264,beer,hot,1.3333333333333333,0.3905385136604309,0.289499431848526,0.09639584273099899,0.23567254841327667
265,wing,hot,3.75,0.27344223856925964,0.057302381843328476,0.00017089236644096673,0.00012727333523798734
266,pig,hot,3.25,0.34863919019699097,0.07499857991933823,0.020846674218773842,0.009325051680207253
267,engine,hot,4.75,0.32985919713974,0.046730220317840576,0.05108296498656273,0.03990427032113075
268,syrup,hot,2.0,0.2878812551498413,0.3196879029273987,0.010864517651498318,0.3048512935638428
269,shark,hot,1.5,0.2740474343299866,0.18032941222190854,0.0006266062846407294,0.0028817716520279646
270,turtle,hot,2.0,0.26920589804649353,0.1043933629989624,0.0007242254796437919,0.002248109085485339
271,door,hot,1.75,0.32838284969329834,-0.1511945277452469,1.6272664652206004e-05,5.9792379033751786e-05
272,pea,hot,3.0,0.3538311421871185,0.17237719893455505,0.12016330659389496,0.04959266260266304
273,cup,hot,3.0,0.3441302478313446,0.1848813146352768,0.006428403314203024,0.008045230992138386
274,breakfast,hot,3.75,0.4032204449176788,0.2556972801685333,0.21700604259967804,0.03142900764942169
275,penguin,hot,1.5,0.2493325620889664,0.22673355042934415,0.0021803868003189564,0.004983456805348396
276,bottle,hot,3.0,0.32807648181915283,0.12311291694641112,0.0006529617821797729,0.0013017760356888175
277,pad,hot,3.0,0.32847821712493896,0.27414417266845703,0.005358139984309673,0.03720363229513168
278,chicken,hot,4.5,0.4076532125473023,0.2774557769298553,0.012503759935498238,0.2005596160888672
279,nugget,hot,3.75,0.2909571826457977,0.1634334772825241,0.0014613847015425563,0.09841086715459824
280,coffee,hot,4.75,0.4388701617717743,0.35567066073417664,1.0,0.530329167842865
281,guy,hot,3.5,0.37876221537590027,-0.07012240588665009,0.01501932367682457,1.0
282,night,hot,3.5,0.42891016602516174,-0.07978370785713196,0.00010633619967848063,0.07080799341201782
283,earth,hot,4.75,0.3764569759368897,0.17803674936294556,0.031097082421183586,0.022675007581710815
284,mud,hot,2.75,0.3873255550861359,0.31355926394462585,0.22343827784061432,0.026280853897333145
285,soup,hot,5.5,0.4298225939273834,0.3624530136585236,1.0,0.9114895462989807
286,chip,hot,2.75,0.3181014060974121,0.4895445704460144,0.04339286684989929,0.06634137034416199
287,dough,hot,2.5,0.3613611459732056,0.3017414212226868,0.00271151727065444,0.29659655690193176
288,blanket,hot,3.6666666666666665,0.3907466232776642,-0.017542751505970955,0.00549353938549757,0.00402417965233326
289,person,hot,4.0,0.2636512219905853,0.0376647487282753,8.569185592932627e-05,0.014156265184283257
290,hand,hot,3.0,0.3980833888053894,-0.02425914816558361,0.002385942032560706,0.033504143357276917
291,ground,hot,2.75,0.3649072349071503,0.08834288269281387,0.03354572132229805,0.0006975932628847659
292,peach,hot,2.5,0.40026018023490906,0.4328913390636444,0.09486961364746094,0.08244851231575012
